Index,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
92,Talk That Talk (Deluxe),13,66IdTkn3exF8fdYqEeVeLc,Do Ya Thang,spotify:track:66IdTkn3exF8fdYqEeVeLc,0.000924,0.519,0.853,1.43e-05,0.101,-4.679,0.0369,174.085,0.697,44
93,Talk That Talk (Deluxe),14,44fouNXjaqIoI6PVgiGQqw,Fool In Love,spotify:track:44fouNXjaqIoI6PVgiGQqw,0.045,0.44,0.685,4.07e-06,0.31,-5.582,0.0473,111.835,0.0433,41
94,Talk That Talk,1,3Yt9lRtS5V4nbJnwcgFgvC,You Da One,spotify:track:3Yt9lRtS5V4nbJnwcgFgvC,0.503,0.702,0.715,2.44e-05,0.126,-5.377,0.0425,127.05,0.863,77
95,Talk That Talk,2,3tyPOhuVnt5zd5kGfxbCyL,Where Have You Been,spotify:track:3tyPOhuVnt5zd5kGfxbCyL,0.00201,0.719,0.847,0.0204,0.223,-6.34,0.0916,127.963,0.444,74
96,Talk That Talk,3,0U10zFw4GlBacOy9VDGfGL,We Found Love,spotify:track:0U10zFw4GlBacOy9VDGfGL,0.025,0.735,0.766,0.00138,0.108,-4.485,0.0383,127.985,0.6,82
97,Talk That Talk,4,57mKcbEq7nMqtJ4gqJvWcp,Talk That Talk,spotify:track:57mKcbEq7nMqtJ4gqJvWcp,0.0371,0.694,0.671,3.14e-05,0.236,-4.088,0.0444,83.999,0.466,66
98,Talk That Talk,5,3jYW03V9XeM2w7LJ0EXQDC,Cockiness (Love It),spotify:track:3jYW03V9XeM2w7LJ0EXQDC,0.00118,0.673,0.773,0.000569,0.148,-7.099,0.0576,124.999,0.265,49
99,Talk That Talk,6,4EfN6bixdOOgoLYR5C4cWo,Birthday Cake,spotify:track:4EfN6bixdOOgoLYR5C4cWo,0.32,0.702,0.826,0.000227,0.355,-6.498,0.0529,80.014,0.329,62
100,Talk That Talk,7,3gMC76iTaypaOnuIZZvoiR,We All Want Love,spotify:track:3gMC76iTaypaOnuIZZvoiR,0.00244,0.53,0.575,0.000572,0.277,-6.71,0.0317,147.961,0.308,41
101,Talk That Talk,8,5A0Swrynpx7ALauNv08nBe,Drunk On Love,spotify:track:5A0Swrynpx7ALauNv08nBe,0.0748,0.655,0.873,0.000454,0.401,-3.609,0.0579,100.391,0.153,47
102,Talk That Talk,9,5CegsKtrwkX9HKb2YU5FOm,Roc Me Out,spotify:track:5CegsKtrwkX9HKb2YU5FOm,0.00503,0.565,0.826,0.00011,0.0757,-4.808,0.0773,174.058,0.377,43
